SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,NETMIG2020,NETMIG2021,NETMIG2022,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RBIRTH2021,RBIRTH2022,RDEATH2021,RDEATH2022,RNATURALCHG2021,RNATURALCHG2022,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RDOMESTICMIG2021,RDOMESTICMIG2022,RNETMIG2021,RNETMIG2022
10,0,0,0,United States,331449520,331511512,332031554,333287557,61992,520042,1256003,894123,3582436,3688179,852024,3438423,3443099,42099,144013,245080,19893,376029,1010923,0,0,0,19893,376029,1010923,0,0,0,10.79790049,11.08694742,10.36382769,10.35021824,0.434072805,0.736729175,1.133397421,3.038911654,0,0,1.133397421,3.038911654
20,1,0,0,Northeast Region,57609156,57448898,57259257,57040406,-160258,-189641,-218851,146120,572782,593222,192891,560931,564007,-46771,11851,29215,4429,80451,214464,-113328,-278474,-460736,-108899,-198023,-246272,-4588,-3469,-1794,9.986770339,10.38011809,9.780141612,9.868917986,0.206628727,0.511200107,1.402707593,3.752661983,-4.855347904,-8.061896036,-3.452640311,-4.309234053
30,1,1,0,New England,15116206,15074473,15121745,15129548,-41733,47272,7803,35417,139206,146423,46182,143894,149549,-10765,-4688,-3126,1560,26735,70412,-30001,23342,-56991,-28441,50077,13421,-2527,1883,-2492,9.220095046,9.680445725,9.530597507,9.887114577,-0.310502461,-0.206668852,1.770751556,4.655139865,1.546021426,-3.767838948,3.316772981,0.887300916
30,1,2,0,Middle Atlantic,42492950,42374425,42137512,41910858,-118525,-236913,-226654,110703,433576,446799,146709,417037,414458,-36006,16539,32341,2869,53716,144052,-83327,-301816,-403745,-80458,-248100,-259693,-2061,-5352,698,10.26070436,10.6319492,9.869304025,9.862368539,0.39140033,0.769580659,1.271205037,3.427835662,-7.142564961,-9.607443904,-5.871359924,-6.179608242
20,2,0,0,Midwest Region,68985537,68961043,68836505,68787595,-24494,-124538,-48910,190131,747700,759934,186324,761965,768572,3807,-14265,-8638,3070,55306,145268,-39524,-182263,-174049,-36454,-126957,-28781,8153,16684,-11491,10.85215246,11.04361809,11.05919534,11.16914843,-0.207042871,-0.12553034,0.802713848,2.111083742,-2.645373632,-2.529338975,-1.842659784,-0.418255233
30,2,3,0,East North Central,47368637,47338744,47181948,47097779,-29893,-156796,-84169,127378,500167,508030,133459,529543,535923,-6081,-29376,-27893,1991,37015,98117,-31782,-175642,-146416,-29791,-138627,-48299,5979,11207,-7977,10.58322764,10.7770783,11.20480582,11.36878557,-0.621578183,-0.591707271,0.783214748,2.081401869,-3.716477234,-3.105991175,-2.933262486,-1.024589305
30,2,4,0,West North Central,21616900,21622299,21654557,21689816,5399,32258,35259,62753,247533,251904,52865,232422,232649,9888,15111,19255,1079,18291,47151,-7742,-6621,-27633,-6663,11670,19518,2174,5477,-3514,11.43950938,11.62337727,10.74116844,10.73491131,0.698340933,0.888465961,0.845301701,2.175645729,-0.305983411,-1.275044398,0.539318291,0.900601331
20,3,0,0,South Region,126266262,126450613,127346029,128716192,184351,895416,1370163,348206,1425940,1476296,314775,1403963,1406198,33431,21977,70098,8957,155222,414740,147114,722926,867935,156071,878148,1282675,-5151,-4709,17390,11.2368705,11.53075994,11.0636846,10.98325239,0.173185901,0.547507553,1.223199793,3.239368919,5.696891766,6.779094523,6.920091559,10.01846344
30,3,5,0,South Atlantic,66089861,66164801,66666348,67452940,74940,501547,786592,172099,699565,727568,168663,727277,738452,3436,-27712,-10884,6001,97735,260228,72783,437217,523687,78784,534952,783915,-7280,-5693,13561,10.53314686,10.8495655,10.95039839,11.01186878,-0.417251529,-0.162303277,1.471567486,3.880545504,6.583049282,7.809271997,8.054616768,11.6898175
30,3,6,0,East South Central,19402323,19422567,19474372,19578002,20244,51805,103630,54200,222808,227806,56664,258082,258921,-2464,-35274,-31115,517,7300,18741,22052,77441,114959,22569,84741,133700,139,2338,1045,11.45632565,11.66669151,13.27004164,13.26019258,-1.813715984,-1.593501076,0.375350873,0.959788002,3.981855745,5.887426972,4.357206617,6.847214973
30,3,7,0,West South Central,40774078,40863245,41205309,41685250,89167,342064,479941,121907,503567,520922,89448,418604,408825,32459,84963,112097,2439,50187,135771,52279,208268,229289,54718,258455,365060,1990,-1354,2784,12.27186238,12.56891029,10.2013251,9.864211436,2.070537273,2.704698855,1.223050671,3.275909866,5.075464105,5.53233089,6.298514776,8.808240755
