CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022
10180,,,"Abilene, TX",Metropolitan Statistical Area,176561,176866,177829,179308,305,963,1479
10180,,48059,"Callahan County, TX",County or equivalent,13703,13744,14078,14210,41,334,132
10180,,48253,"Jones County, TX",County or equivalent,19653,19678,19809,19935,25,131,126
10180,,48441,"Taylor County, TX",County or equivalent,143205,143444,143942,145163,239,498,1221
10420,,,"Akron, OH",Metropolitan Statistical Area,702226,701625,696225,697627,-601,-5400,1402
10420,,39133,"Portage County, OH",County or equivalent,161790,161833,158978,161745,43,-2855,2767
10420,,39153,"Summit County, OH",County or equivalent,540436,539792,537247,535882,-644,-2545,-1365
10500,,,"Albany, GA",Metropolitan Statistical Area,148919,148244,144922,145786,-675,-3322,864
10500,,13095,"Dougherty County, GA",County or equivalent,85790,85153,82267,82966,-637,-2886,699
10500,,13177,"Lee County, GA",County or equivalent,33162,33215,33194,33642,53,-21,448
10500,,13273,"Terrell County, GA",County or equivalent,9184,9138,8904,8754,-46,-234,-150
10500,,13321,"Worth County, GA",County or equivalent,20783,20738,20557,20424,-45,-181,-133
10540,,,"Albany-Lebanon, OR",Metropolitan Statistical Area,128610,128978,129948,130467,368,970,519
10540,,41043,"Linn County, OR",County or equivalent,128610,128978,129948,130467,368,970,519
10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,899251,899748,905369,904617,497,5621,-752
10580,,36001,"Albany County, NY",County or equivalent,314838,313987,316301,315811,-851,2314,-490
10580,,36083,"Rensselaer County, NY",County or equivalent,161138,160900,160740,159853,-238,-160,-887
10580,,36091,"Saratoga County, NY",County or equivalent,235499,235794,237962,238797,295,2168,835
10580,,36093,"Schenectady County, NY",County or equivalent,158058,159315,160214,160093,1257,899,-121
10580,,36095,"Schoharie County, NY",County or equivalent,29718,29752,30152,30063,34,400,-89
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,916517,917502,918970,919543,985,1468,573
10740,,35001,"Bernalillo County, NM",County or equivalent,676438,676803,674980,672508,365,-1823,-2472
10740,,35043,"Sandoval County, NM",County or equivalent,148829,149276,151439,153501,447,2163,2062
10740,,35057,"Torrance County, NM",County or equivalent,15045,15054,15318,15454,9,264,136
10740,,35061,"Valencia County, NM",County or equivalent,76205,76369,77233,78080,164,864,847
10780,,,"Alexandria, LA",Metropolitan Statistical Area,152193,151792,150960,149189,-401,-832,-1771
10780,,22043,"Grant Parish, LA",County or equivalent,22163,22135,22212,22000,-28,77,-212
10780,,22079,"Rapides Parish, LA",County or equivalent,130030,129657,128748,127189,-373,-909,-1559
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,861915,861508,869765,871229,-407,8257,1464
10900,,34041,"Warren County, NJ",County or equivalent,109638,109513,110494,110926,-125,981,432
10900,,42025,"Carbon County, PA",County or equivalent,64750,64744,65460,65460,-6,716,0
10900,,42077,"Lehigh County, PA",County or equivalent,374572,374477,375760,376317,-95,1283,557
10900,,42095,"Northampton County, PA",County or equivalent,312955,312774,318051,318526,-181,5277,475
11020,,,"Altoona, PA",Metropolitan Statistical Area,122820,122651,122181,121032,-169,-470,-1149
11020,,42013,"Blair County, PA",County or equivalent,122820,122651,122181,121032,-169,-470,-1149
11100,,,"Amarillo, TX",Metropolitan Statistical Area,268692,269018,269853,271171,326,835,1318
11100,,48011,"Armstrong County, TX",County or equivalent,1846,1849,1838,1850,3,-11,12
11100,,48065,"Carson County, TX",County or equivalent,5799,5791,5708,5784,-8,-83,76
11100,,48359,"Oldham County, TX",County or equivalent,1759,1764,1730,1752,5,-34,22
11100,,48375,"Potter County, TX",County or equivalent,118527,118272,116538,115645,-255,-1734,-893
11100,,48381,"Randall County, TX",County or equivalent,140761,141342,144039,146140,581,2697,2101
