Median Household Income,state,county,county subdivision,Median Gross Rent,Median Home Value (Owner Occupied)
40078.0,1,1,90171,496.0,74000.0
52172.0,1,1,90315,568.0,84500.0
48500.0,1,1,92106,693.0,108000.0
55555.0,1,1,92628,796.0,142600.0
45318.0,1,3,90207,658.0,117600.0
63146.0,1,3,90846,934.0,202700.0
41365.0,1,3,90963,687.0,154900.0
52364.0,1,3,91053,968.0,218200.0
46507.0,1,3,91152,817.0,192900.0
44041.0,1,3,92754,757.0,140000.0
39099.0,1,3,93024,666.0,95700.0
38977.0,1,3,93042,573.0,126400.0
43544.0,1,5,90189,703.0,92900.0
26164.0,1,5,90630,462.0,57400.0
30823.0,1,5,90648,634.0,62500.0
33434.0,1,5,91017,496.0,116500.0
33633.0,1,5,91989,496.0,61100.0
35990.0,1,7,90531,530.0,75500.0
46806.0,1,7,92601,,140300.0
47417.0,1,7,93438,577.0,76300.0
45571.0,1,9,90333,535.0,104500.0
35977.0,1,9,90414,501.0,85200.0
38072.0,1,9,90612,535.0,87300.0
47963.0,1,9,90639,682.0,105900.0
53724.0,1,9,91557,658.0,137200.0
46236.0,1,9,91953,613.0,110500.0
42371.0,1,9,92439,576.0,112900.0
40394.0,1,11,91098,,210100.0
34567.0,1,11,91701,478.0,67700.0
33094.0,1,11,92133,531.0,58200.0
25316.0,1,11,93249,375.0,67600.0
43656.0,1,13,90540,,64600.0
33700.0,1,13,91170,678.0,78500.0
22115.0,1,13,91314,434.0,47100.0
30210.0,1,13,91422,478.0,82200.0
42820.0,1,15,90066,658.0,104300.0
37154.0,1,15,90099,588.0,93400.0
54565.0,1,15,90585,586.0,135500.0
38877.0,1,15,91746,503.0,123300.0
46842.0,1,15,92430,666.0,90600.0
32607.0,1,15,92556,545.0,80000.0
37690.0,1,17,91107,585.0,89900.0
31148.0,1,17,91818,551.0,80800.0
30535.0,1,17,91827,545.0,80500.0
30000.0,1,17,92169,708.0,85800.0
30879.0,1,17,93272,580.0,80500.0
49803.0,1,17,93393,695.0,88300.0
35000.0,1,19,90513,464.0,89000.0
42780.0,1,19,90522,412.0,111300.0
43125.0,1,19,91854,662.0,84400.0
30368.0,1,19,92983,339.0,89500.0
35827.0,1,21,90603,489.0,106600.0
42133.0,1,21,91710,523.0,103400.0
40523.0,1,21,91764,666.0,107900.0
38007.0,1,21,92097,609.0,84000.0
50813.0,1,21,92178,533.0,118400.0
34531.0,1,21,93285,649.0,81400.0
33359.0,1,23,90441,425.0,71900.0
38508.0,1,23,91332,542.0,68100.0
17768.0,1,23,91908,628.0,60900.0
39135.0,1,23,92925,745.0,51600.0
17452.0,1,25,90675,148.0,87200.0
40781.0,1,25,91260,613.0,69500.0
21195.0,1,25,91440,413.0,75100.0
33802.0,1,25,91726,408.0,81300.0
31389.0,1,25,93132,480.0,93500.0
22939.0,1,25,93362,645.0,50300.0
34543.0,1,27,90126,341.0,77700.0
36971.0,1,27,91899,426.0,102900.0
38462.0,1,27,92142,813.0,53400.0
34786.0,1,29,91251,671.0,87900.0
34985.0,1,29,91593,511.0,73300.0
39044.0,1,29,92682,593.0,108500.0
31978.0,1,31,90954,497.0,91300.0
46596.0,1,31,90999,612.0,134500.0
44107.0,1,31,91341,506.0,86700.0
35588.0,1,31,91719,475.0,51600.0
33375.0,1,31,91800,515.0,58300.0
35474.0,1,31,93303,479.0,93100.0
34188.0,1,33,90567,427.0,73900.0
39060.0,1,33,91863,532.0,100800.0
41539.0,1,33,91926,593.0,85500.0
39808.0,1,33,93186,578.0,100200.0
25769.0,1,35,90504,375.0,66800.0
25022.0,1,35,91044,508.0,84700.0
35150.0,1,35,92016,,61500.0
38750.0,1,35,92718,527.0,75800.0
26310.0,1,35,92916,,52000.0
27243.0,1,37,91350,413.0,54100.0
42594.0,1,37,92763,467.0,80600.0
39615.0,1,37,93429,527.0,81500.0
34147.0,1,39,90090,483.0,95100.0
35536.0,1,39,91062,467.0,92700.0
30303.0,1,39,91134,544.0,82100.0
29342.0,1,39,92448,495.0,66700.0
46250.0,1,39,92781,668.0,92000.0
31308.0,1,41,90360,316.0,68100.0
34885.0,1,41,92007,503.0,77600.0
39122.0,1,41,92529,542.0,66300.0
39649.0,1,43,90180,558.0,89800.0
39348.0,1,43,90369,592.0,95700.0
30313.0,1,43,90774,329.0,93800.0
37891.0,1,43,90810,573.0,115000.0
33719.0,1,43,91521,511.0,92300.0
38851.0,1,43,91647,551.0,98400.0
34327.0,1,43,91773,549.0,90300.0
46010.0,1,43,91962,485.0,104100.0
41812.0,1,43,92934,577.0,103700.0
38955.0,1,43,93330,578.0,95500.0
44107.0,1,43,93420,452.0,98200.0
44252.0,1,45,90828,618.0,101700.0
