Median Household Income,state,place,Median Gross Rent,Median Home Value (Owner Occupied)
25787.0,1,100,,60600.0
36944.0,1,124,508.0,88000.0
46150.0,1,460,1030.0,107100.0
44000.0,1,484,382.0,106500.0
28438.0,1,676,,39400.0
83181.0,1,820,1171.0,189600.0
51718.0,1,988,749.0,136100.0
41778.0,1,1132,598.0,106800.0
88090.0,1,1180,871.0,137600.0
30411.0,1,1228,522.0,94500.0
56250.0,1,1396,713.0,128500.0
40000.0,1,1660,369.0,92200.0
40516.0,1,1708,655.0,130800.0
76250.0,1,1756,813.0,177300.0
39928.0,1,1852,761.0,117900.0
50321.0,1,2116,632.0,158000.0
37448.0,1,2260,682.0,122200.0
80733.0,1,2320,,186900.0
31406.0,1,2428,488.0,106800.0
44167.0,1,2500,531.0,76500.0
47167.0,1,2836,716.0,153500.0
25458.0,1,2860,361.0,129100.0
42875.0,1,2908,850.0,123800.0
52211.0,1,2956,720.0,184900.0
29104.0,1,3004,603.0,98600.0
46278.0,1,3028,591.0,89500.0
54700.0,1,3076,925.0,285000.0
34375.0,1,3220,410.0,99400.0
61250.0,1,3364,629.0,146900.0
2499.0,1,3508,,180300.0
47500.0,1,3556,560.0,101600.0
53135.0,1,3676,819.0,80000.0
36250.0,1,3724,555.0,88300.0
54803.0,1,3820,,96600.0
43558.0,1,3940,888.0,152100.0
35851.0,1,4660,710.0,119500.0
29099.0,1,4684,695.0,76900.0
33833.0,1,4852,700.0,64100.0
28750.0,1,4900,,35000.0
50833.0,1,4948,,63800.0
34375.0,1,5140,,
39167.0,1,5164,454.0,
16500.0,1,5188,,
41953.0,1,5212,,116400.0
84063.0,1,5692,,111400.0
56563.0,1,5812,781.0,126500.0
43300.0,1,5932,400.0,93300.0
32416.0,1,5980,786.0,102200.0
31250.0,1,6460,,85000.0
39403.0,1,7000,906.0,102900.0
51230.0,1,7120,,57500.0
41335.0,1,7456,683.0,111000.0
110250.0,1,7588,,280000.0
40625.0,1,7672,,63000.0
40732.0,1,7912,573.0,114800.0
11445.0,1,8104,454.0,63600.0
18000.0,1,8248,558.0,66100.0
72330.0,1,8272,,256800.0
32500.0,1,8680,,
28125.0,1,9016,340.0,86000.0
46544.0,1,9064,768.0,53600.0
22304.0,1,9136,511.0,107900.0
44528.0,1,9208,584.0,116100.0
35551.0,1,9328,372.0,68100.0
28125.0,1,9400,667.0,58400.0
40675.0,1,9424,367.0,74300.0
52464.0,1,9457,,155700.0
72664.0,1,9500,1144.0,367500.0
62321.0,1,9736,781.0,88700.0
64479.0,1,9808,1008.0,146500.0
25083.0,1,9880,,
35440.0,1,10240,636.0,72200.0
,1,10456,,
39553.0,1,11032,618.0,112300.0
70504.0,1,11416,1339.0,161900.0
,1,11488,,
40670.0,1,11512,,90800.0
28800.0,1,11680,387.0,75800.0
26481.0,1,12016,596.0,71000.0
,1,12040,375.0,73300.0
37468.0,1,12070,716.0,137100.0
,1,12112,,
50714.0,1,12160,769.0,89100.0
28487.0,1,12304,474.0,123300.0
42083.0,1,12496,395.0,58800.0
,1,12544,,
37667.0,1,12760,482.0,116200.0
